run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,circuit_type,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,persistent_warm_start_cache,warm_start_cache_dir,warm_start_cache_max_file_mb,warm_start_cache_max_total_gb,sdp_max_parallel,qaoa_max_parallel,sdp_threads,qaoa_threads,sdp_memory_limit_total_gb,sdp_memory_limit_single_gb,sdp_memory_poll_seconds,sdp_max_retries,queue_poll_interval_seconds,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
d12cda74,10,9,0,0.0,False,False,None,5.449489742783169,,,,,,,,,,,5.449489742783182,,1.0000000000000024,,,,0.7115414142608643,0.7115414142608643,False,,0.0,0.0,,,0.7615830898284912,2026-06-17 19:02:51,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,17,"[(8, 9), (3, 9), (1, 9), (2, 9), (6, 8), (4, 9), (7, 8), (5, 8), (0, 8)]",
f06ee2b9,11,10,0,0.0,False,False,None,6.685574678643598,,,,,,,,,,,6.685574678643598,,1.0,,,,0.3828155994415283,0.3828155994415283,False,,0.0,0.0,,,0.40964627265930176,2026-06-17 19:02:52,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,23,"[(5, 10), (0, 10), (3, 8), (1, 9), (2, 9), (7, 8), (5, 9), (4, 8), (6, 10), (6, 7)]",
f9c03094,11,10,0,0.0,False,False,None,6.211289923128812,,,,,,,,,,,6.211289923128814,,1.0000000000000002,,,,0.8153767585754395,0.8153767585754395,False,,0.0,0.0,,,0.872899055480957,2026-06-17 19:02:52,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,22,"[(8, 9), (4, 10), (5, 10), (0, 10), (7, 9), (6, 8), (3, 10), (1, 10), (7, 10), (2, 10)]",
ad632a93,13,12,0,0.0,False,False,None,8.381375901143892,,,,,,,,,,,8.381375901143928,,1.0000000000000042,,,,0.7035918235778809,0.7035918235778809,False,,0.0,0.0,,,0.7514984607696533,2026-06-17 19:02:52,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,21,"[(8, 9), (9, 10), (3, 12), (1, 12), (10, 11), (5, 6), (3, 4), (0, 12), (7, 8), (4, 5), (2, 11), (6, 7)]",
80420d08,8,8,0,0.0,False,False,None,5.427590733424281,,,,,,,,,,,5.427590733424305,,1.0000000000000044,,,,0.2713181972503662,0.2713181972503662,False,,0.0,0.0,,,0.32872796058654785,2026-06-17 19:02:53,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,28,"[(2, 7), (2, 6), (0, 7), (3, 5), (4, 6), (3, 4), (1, 5), (1, 7)]",
9e833198,14,13,0,0.0,False,False,None,7.464101615137784,,,,,,,,,,,7.4641016151377615,,0.999999999999997,,,,0.9937539100646973,0.9937539100646973,False,,0.0,0.0,,,1.03513503074646,2026-06-17 19:02:53,x86_64,dacsgpu0001,,64,64,3.11.15,0.22,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,24,"[(1, 13), (12, 13), (2, 13), (8, 12), (4, 13), (10, 12), (5, 13), (11, 12), (9, 12), (7, 12), (0, 12), (3, 13), (6, 13)]",
d496376e,15,14,0,0.0,False,False,None,8.432804158926862,,,,,,,,,,,8.43280415892685,,0.9999999999999986,,,,0.9391121864318848,0.9391121864318848,False,,0.0,0.0,,,0.9961175918579102,2026-06-17 19:02:53,x86_64,dacsgpu0001,,64,64,3.11.15,0.24,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,27,"[(4, 14), (5, 14), (9, 13), (10, 13), (11, 14), (11, 12), (1, 12), (2, 12), (0, 12), (8, 13), (3, 13), (6, 14), (7, 14), (11, 13)]",
e36b1eb5,11,10,0,0.0,False,False,None,6.745744304554807,,,,,,,,,,,6.745744304554803,,0.9999999999999993,,,,0.8387818336486816,0.8387818336486816,False,,0.0,0.0,,,0.9169950485229492,2026-06-17 19:02:54,x86_64,dacsgpu0001,,64,64,3.11.15,0.21,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,26,"[(8, 9), (3, 9), (4, 10), (0, 10), (5, 6), (7, 8), (4, 5), (1, 10), (6, 7), (2, 10)]",
a73e6c46,15,14,0,0.0,False,False,None,7.9622705224272385,,,,,,,,,,,7.962270522427224,,0.9999999999999982,,,,2.4252090454101562,2.4252090454101562,False,,0.0,0.0,,,2.493417978286743,2026-06-17 19:02:55,x86_64,dacsgpu0001,,64,64,3.11.15,0.24,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,25,"[(4, 14), (7, 13), (12, 13), (5, 14), (0, 14), (9, 13), (13, 14), (3, 14), (8, 13), (6, 14), (1, 14), (10, 13), (2, 14), (11, 13)]",
fa56929f,5,5,0,0.0,False,False,None,3.4516059629557834,,,,,,,,,,,3.4516059629557767,,0.9999999999999981,,,,0.08589053153991699,0.08589053153991699,False,,0.0,0.0,,,0.14596915245056152,2026-06-17 19:02:59,x86_64,dacsgpu0001,,64,64,3.11.15,0.2,True,False,exact,HOG,10800,10,hog,False,True,90,False,False,False,1,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,False,Results/warm_start_cache,512,60,0,16,1,4,0,0,5,0,5,1,,31,"[(1, 3), (2, 3), (0, 4), (1, 4), (2, 4)]",
