run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,circuit_type,n_start,n_end,graph_generation_type,time_limit,failed_instance_termination_thrsh,weighted,easiest_first,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
082d1d08,9,14,0,0.0,False,False,None,7.475841611602412,,,,,,,,,,,7.475841611602412,,1.0,,,,0.018680334091186523,0.018680334091186523,False,,0.0,0.0,,,0.03518176078796387,2026-06-26 13:55:53,x86_64,dacsgpu0003,,64,64,3.11.15,0.2,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,16,"[(0, 1), (2, 3), (1, 6), (0, 4), (3, 8), (5, 7), (0, 7), (0, 3), (0, 6), (1, 5), (2, 8), (4, 5), (1, 4), (0, 2)]",
23c1e3c5,9,18,0,0.0,False,False,None,8.611677215596789,,,,,,,,,,,8.611677215596789,,1.0,,,,0.018483400344848633,0.018483400344848633,False,,0.0,0.0,,,0.030682802200317383,2026-06-26 13:55:59,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,17,"[(2, 7), (0, 1), (0, 4), (3, 8), (2, 6), (5, 7), (0, 7), (3, 5), (0, 3), (4, 6), (3, 6), (6, 8), (1, 5), (0, 5), (1, 4), (0, 2), (0, 8), (2, 4)]",
099e2aa8,9,27,0,0.0,False,False,None,11.165162775970142,,,,,,,,,,,11.165162775970142,,1.0,,,,0.022728681564331055,0.022728681564331055,False,,0.0,0.0,,,0.039018869400024414,2026-06-26 13:55:59,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,21,"[(2, 3), (2, 6), (3, 5), (7, 8), (0, 5), (1, 4), (0, 2), (0, 8), (1, 7), (5, 7), (3, 4), (2, 8), (4, 5), (2, 5), (4, 8), (1, 3), (0, 1), (1, 6), (0, 4), (6, 8), (2, 4), (2, 7), (0, 3), (1, 2), (1, 8), (0, 6), (1, 5)]",
6c36d922,9,27,0,0.0,False,False,None,11.15151766406147,,,,,,,,,,,11.15151766406147,,1.0,,,,0.025382041931152344,0.025382041931152344,False,,0.0,0.0,,,0.04082441329956055,2026-06-26 13:55:59,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,20,"[(2, 3), (2, 6), (3, 5), (7, 8), (0, 2), (0, 8), (1, 7), (5, 7), (2, 8), (4, 5), (3, 7), (4, 8), (1, 3), (0, 1), (1, 6), (6, 8), (5, 6), (3, 6), (2, 4), (2, 7), (4, 7), (0, 3), (1, 8), (0, 6), (1, 5), (5, 8), (6, 7)]",
9cbf6048,10,25,0,0.0,False,False,None,12.118243044590571,,,,,,,,,,,12.118243044590571,,1.0,,,,0.022165298461914062,0.022165298461914062,False,,0.0,0.0,,,0.038405656814575195,2026-06-26 13:56:01,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,27,"[(2, 6), (2, 9), (4, 6), (7, 8), (0, 5), (1, 7), (6, 9), (3, 4), (2, 8), (4, 5), (2, 5), (4, 8), (1, 3), (0, 1), (1, 9), (0, 7), (6, 8), (3, 6), (3, 9), (2, 7), (4, 7), (0, 3), (1, 5), (0, 9), (5, 8)]",
d570a97f,10,20,0,0.0,False,False,None,10.572568715049329,,,,,,,,,,,10.572568715049329,,1.0,,,,0.026126384735107422,0.026126384735107422,False,,0.0,0.0,,,0.03754901885986328,2026-06-26 13:56:01,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,26,"[(2, 3), (2, 6), (3, 5), (2, 9), (7, 8), (1, 4), (0, 2), (0, 8), (1, 7), (5, 7), (3, 4), (4, 5), (4, 8), (8, 9), (1, 3), (1, 9), (5, 6), (0, 6), (0, 9), (6, 7)]",
8f8ab18f,10,28,0,0.0,False,False,None,12.658576065675984,,,,,,,,,,,12.658576065675984,,1.0,,,,0.023988962173461914,0.023988962173461914,False,,0.0,0.0,,,0.03643155097961426,2026-06-26 13:56:05,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,24,"[(2, 3), (3, 8), (2, 9), (4, 6), (4, 9), (7, 8), (0, 2), (0, 8), (1, 7), (6, 9), (5, 7), (3, 4), (2, 8), (3, 7), (2, 5), (8, 9), (1, 6), (0, 4), (1, 9), (0, 7), (6, 8), (5, 6), (2, 7), (0, 3), (1, 2), (1, 8), (0, 6), (0, 9)]",
7009701f,10,21,0,0.0,False,False,None,10.728389772882391,,,,,,,,,,,10.728389772882391,,1.0,,,,0.024239301681518555,0.024239301681518555,False,,0.0,0.0,,,0.038491249084472656,2026-06-26 13:56:05,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,29,"[(4, 6), (4, 9), (7, 8), (0, 5), (1, 4), (0, 2), (5, 7), (3, 7), (2, 5), (4, 8), (0, 1), (0, 4), (6, 8), (5, 6), (2, 4), (3, 9), (4, 7), (0, 3), (0, 6), (1, 5), (0, 9)]",
08079fc5,10,15,0,0.0,False,False,None,8.907724921400774,,,,,,,,,,,8.907724921400774,,1.0,,,,0.01886773109436035,0.01886773109436035,False,,0.0,0.0,,,0.03043222427368164,2026-06-26 13:56:05,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,True,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,25,"[(8, 9), (3, 9), (1, 3), (0, 1), (2, 7), (4, 7), (4, 6), (0, 6), (4, 9), (1, 5), (2, 8), (7, 8), (2, 5), (0, 5), (3, 6)]",
40ce1d0d,10,20,0,0.0,False,False,None,10.007511103462269,,,,,,,,,,,10.007511103462269,,1.0,,,,0.024378299713134766,0.024378299713134766,False,,0.0,0.0,,,0.040358781814575195,2026-06-26 13:56:05,x86_64,dacsgpu0003,,64,64,3.11.15,0.21,False,False,exact,HOG,0,77,hog,10800,10,False,True,False,False,False,1,HOG_graphs/random_graphs_8to14vertices_78instances_20260625_143415_AdjacencyList.txt,1,,30,"[(2, 3), (3, 5), (4, 6), (7, 8), (0, 2), (0, 8), (1, 7), (5, 7), (3, 4), (4, 5), (8, 9), (1, 3), (0, 1), (6, 8), (2, 4), (7, 9), (1, 2), (1, 5), (0, 9), (6, 7)]",
