hog_graph_index,sdp_seed,present_p,missing_cached_p
91,1000042,[1],"[3, 5]"
91,2000042,[1],"[3, 5]"
91,3000042,[1],"[3, 5]"
91,4000042,[1],"[3, 5]"
91,5000042,[1],"[3, 5]"
91,6000042,[1],"[3, 5]"
91,7000042,[1],"[3, 5]"
91,8000042,[1],"[3, 5]"
91,9000042,[1],"[3, 5]"
92,42,[1],"[3, 5]"
92,1000042,[1],"[3, 5]"
92,2000042,[1],"[3, 5]"
92,3000042,[1],"[3, 5]"
92,4000042,[1],"[3, 5]"
92,5000042,[1],"[3, 5]"
92,6000042,[1],"[3, 5]"
92,7000042,[1],"[3, 5]"
92,8000042,[1],"[3, 5]"
92,9000042,[1],"[3, 5]"
93,42,[1],"[3, 5]"
93,1000042,[1],"[3, 5]"
93,2000042,[1],"[3, 5]"
93,3000042,[1],"[3, 5]"
93,4000042,[1],"[3, 5]"
93,5000042,[1],"[3, 5]"
93,6000042,[1],"[3, 5]"
93,7000042,[1],"[3, 5]"
93,8000042,[1],"[3, 5]"
93,9000042,[1],"[3, 5]"
94,42,[1],"[3, 5]"
94,1000042,[1],"[3, 5]"
94,2000042,[1],"[3, 5]"
94,3000042,[1],"[3, 5]"
94,4000042,[1],"[3, 5]"
94,5000042,[1],"[3, 5]"
94,6000042,[1],"[3, 5]"
94,7000042,[1],"[3, 5]"
94,8000042,[1],"[3, 5]"
94,9000042,[1],"[3, 5]"
95,42,[1],"[3, 5]"
95,1000042,[1],"[3, 5]"
95,2000042,[1],"[3, 5]"
95,3000042,[1],"[3, 5]"
95,4000042,[1],"[3, 5]"
95,5000042,[1],"[3, 5]"
95,6000042,[1],"[3, 5]"
95,7000042,[1],"[3, 5]"
95,8000042,[1],"[3, 5]"
95,9000042,[1],"[3, 5]"
96,42,[1],"[3, 5]"
96,1000042,[1],"[3, 5]"
96,2000042,[1],"[3, 5]"
96,3000042,[1],"[3, 5]"
96,4000042,[1],"[3, 5]"
96,5000042,[1],"[3, 5]"
96,6000042,[1],"[3, 5]"
96,7000042,[1],"[3, 5]"
96,8000042,[1],"[3, 5]"
96,9000042,[1],"[3, 5]"
97,42,[1],"[3, 5]"
97,1000042,[1],"[3, 5]"
97,2000042,[1],"[3, 5]"
97,3000042,[1],"[3, 5]"
97,4000042,[1],"[3, 5]"
97,5000042,[1],"[3, 5]"
97,6000042,[1],"[3, 5]"
97,7000042,[1],"[3, 5]"
97,8000042,[1],"[3, 5]"
97,9000042,[1],"[3, 5]"
98,42,[1],"[3, 5]"
98,1000042,[1],"[3, 5]"
98,2000042,[1],"[3, 5]"
98,3000042,[1],"[3, 5]"
