hog_graph_index,sdp_seed,p,logs,status
85,9000042,3,0,0
85,9000042,5,0,0
86,42,3,0,0
86,42,5,0,0
86,1000042,3,0,0
86,1000042,5,0,0
86,2000042,3,0,0
86,2000042,5,0,0
86,3000042,3,0,0
86,3000042,5,0,0
86,4000042,3,0,0
86,4000042,5,0,0
86,5000042,3,0,0
86,5000042,5,0,0
86,6000042,3,0,0
86,6000042,5,0,0
86,7000042,3,0,0
86,7000042,5,0,0
86,8000042,3,0,0
86,8000042,5,0,0
86,9000042,3,0,0
86,9000042,5,0,0
87,42,3,0,0
87,42,5,0,0
87,1000042,3,0,0
87,1000042,5,0,0
87,2000042,3,0,0
87,2000042,5,0,0
87,3000042,3,0,0
87,3000042,5,0,0
87,4000042,3,0,0
87,4000042,5,0,0
87,5000042,3,0,0
87,5000042,5,0,0
87,6000042,3,0,0
87,6000042,5,0,0
87,7000042,3,0,0
87,7000042,5,0,0
87,8000042,3,0,0
87,8000042,5,0,0
87,9000042,3,0,0
87,9000042,5,0,0
88,42,3,0,0
88,42,5,0,0
88,1000042,3,0,0
88,1000042,5,0,0
88,2000042,3,0,0
88,2000042,5,0,0
88,3000042,3,0,0
88,3000042,5,0,0
88,4000042,3,0,0
88,4000042,5,0,0
88,5000042,3,0,0
88,5000042,5,0,0
88,6000042,3,0,0
88,6000042,5,0,0
88,7000042,3,0,0
88,7000042,5,0,0
88,8000042,3,0,0
88,8000042,5,0,0
88,9000042,3,0,0
88,9000042,5,0,0
89,42,3,0,0
89,42,5,0,0
89,1000042,3,0,0
89,1000042,5,0,0
89,2000042,3,0,0
89,2000042,5,0,0
89,3000042,3,0,0
89,3000042,5,0,0
89,4000042,3,0,0
89,4000042,5,0,0
89,5000042,3,0,0
89,5000042,5,0,0
89,6000042,3,0,0
89,6000042,5,0,0
89,7000042,3,0,0
89,7000042,5,0,0
89,8000042,3,0,0
89,8000042,5,0,0
89,9000042,3,0,0
89,9000042,5,0,0
90,42,3,0,0
90,42,5,0,0
90,1000042,3,0,0
90,1000042,5,0,0
90,2000042,3,0,0
90,2000042,5,0,0
90,3000042,3,0,0
90,3000042,5,0,0
90,4000042,3,0,0
90,4000042,5,0,0
90,5000042,3,0,0
90,5000042,5,0,0
90,6000042,3,0,0
90,6000042,5,0,0
90,7000042,3,0,0
90,7000042,5,0,0
90,8000042,3,0,0
90,8000042,5,0,0
90,9000042,3,0,0
90,9000042,5,0,0
91,42,3,0,0
91,42,5,0,0
91,1000042,3,0,0
91,1000042,5,0,0
91,2000042,3,0,0
91,2000042,5,0,0
91,3000042,3,0,0
91,3000042,5,0,0
91,4000042,3,0,0
91,4000042,5,0,0
91,5000042,3,0,0
91,5000042,5,0,0
91,6000042,3,0,0
91,6000042,5,0,0
91,7000042,3,0,0
91,7000042,5,0,0
91,8000042,3,0,0
91,8000042,5,0,0
91,9000042,3,0,0
91,9000042,5,0,0
92,42,3,0,0
92,42,5,0,0
92,1000042,3,0,0
92,1000042,5,0,0
92,2000042,3,0,0
92,2000042,5,0,0
92,3000042,3,0,0
92,3000042,5,0,0
92,4000042,3,0,0
92,4000042,5,0,0
92,5000042,3,0,0
92,5000042,5,0,0
92,6000042,3,0,0
92,6000042,5,0,0
92,7000042,3,0,0
92,7000042,5,0,0
92,8000042,3,0,0
92,8000042,5,0,0
92,9000042,3,0,0
92,9000042,5,0,0
93,42,3,0,0
93,42,5,0,0
93,1000042,3,0,0
93,1000042,5,0,0
93,2000042,3,0,0
93,2000042,5,0,0
93,3000042,3,0,0
93,3000042,5,0,0
93,4000042,3,0,0
93,4000042,5,0,0
93,5000042,3,0,0
93,5000042,5,0,0
93,6000042,3,0,0
93,6000042,5,0,0
93,7000042,3,0,0
93,7000042,5,0,0
93,8000042,3,0,0
93,8000042,5,0,0
93,9000042,3,0,0
93,9000042,5,0,0
94,42,3,0,0
94,42,5,0,0
94,1000042,3,0,0
94,1000042,5,0,0
94,2000042,3,0,0
94,2000042,5,0,0
94,3000042,3,0,0
94,3000042,5,0,0
94,4000042,3,0,0
94,4000042,5,0,0
94,5000042,3,0,0
94,5000042,5,0,0
94,6000042,3,0,0
94,6000042,5,0,0
94,7000042,3,0,0
94,7000042,5,0,0
94,8000042,3,0,0
94,8000042,5,0,0
94,9000042,3,0,0
94,9000042,5,0,0
95,42,3,0,0
95,42,5,0,0
95,1000042,3,0,0
95,1000042,5,0,0
95,2000042,3,0,0
95,2000042,5,0,0
95,3000042,3,0,0
95,3000042,5,0,0
95,4000042,3,0,0
95,4000042,5,0,0
95,5000042,3,0,0
95,5000042,5,0,0
95,6000042,3,0,0
95,6000042,5,0,0
95,7000042,3,0,0
95,7000042,5,0,0
95,8000042,3,0,0
95,8000042,5,0,0
95,9000042,3,0,0
95,9000042,5,0,0
96,42,3,0,0
96,42,5,0,0
96,1000042,3,0,0
96,1000042,5,0,0
96,2000042,3,0,0
96,2000042,5,0,0
96,3000042,3,0,0
96,3000042,5,0,0
96,4000042,3,0,0
96,4000042,5,0,0
96,5000042,3,0,0
96,5000042,5,0,0
96,6000042,3,0,0
96,6000042,5,0,0
96,7000042,3,0,0
96,7000042,5,0,0
96,8000042,3,0,0
96,8000042,5,0,0
96,9000042,3,0,0
96,9000042,5,0,0
97,42,3,0,0
97,42,5,0,0
97,1000042,3,0,0
97,1000042,5,0,0
97,2000042,3,0,0
97,2000042,5,0,0
97,3000042,3,0,0
97,3000042,5,0,0
97,4000042,3,0,0
97,4000042,5,0,0
97,5000042,3,0,0
97,5000042,5,0,0
97,6000042,3,0,0
97,6000042,5,0,0
97,7000042,3,0,0
97,7000042,5,0,0
97,8000042,3,0,0
97,8000042,5,0,0
97,9000042,3,0,0
97,9000042,5,0,0
98,42,3,0,0
98,42,5,0,0
98,1000042,3,0,0
98,1000042,5,0,0
98,2000042,3,0,0
98,2000042,5,0,0
98,3000042,3,0,0
98,3000042,5,0,0
98,4000042,3,0,0
98,4000042,5,0,0
98,5000042,3,0,0
98,5000042,5,0,0
98,6000042,3,0,0
98,6000042,5,0,0
98,7000042,3,0,0
98,7000042,5,0,0
98,8000042,3,0,0
98,8000042,5,0,0
98,9000042,3,0,0
98,9000042,5,0,0
99,42,3,0,0
99,42,5,0,0
99,1000042,3,0,0
99,1000042,5,0,0
99,2000042,3,0,0
99,2000042,5,0,0
99,3000042,3,0,0
99,3000042,5,0,0
99,4000042,3,0,0
99,4000042,5,0,0
99,5000042,3,0,0
99,5000042,5,0,0
99,6000042,3,0,0
99,6000042,5,0,0
99,7000042,3,0,0
99,7000042,5,0,0
99,8000042,3,0,0
99,8000042,5,0,0
99,9000042,3,0,0
99,9000042,5,0,0
100,42,3,0,0
100,42,5,0,0
100,1000042,3,0,0
100,1000042,5,0,0
100,2000042,3,0,0
100,2000042,5,0,0
100,3000042,3,0,0
100,3000042,5,0,0
100,4000042,3,0,0
100,4000042,5,0,0
100,5000042,3,0,0
100,5000042,5,0,0
100,6000042,3,0,0
100,6000042,5,0,0
100,7000042,3,0,0
100,7000042,5,0,0
100,8000042,3,0,0
100,8000042,5,0,0
100,9000042,3,0,0
100,9000042,5,0,0
101,42,3,0,0
101,42,5,0,0
101,1000042,3,0,0
101,1000042,5,0,0
101,2000042,3,0,0
101,2000042,5,0,0
101,3000042,3,0,0
101,3000042,5,0,0
101,4000042,3,0,0
101,4000042,5,0,0
101,5000042,3,0,0
101,5000042,5,0,0
101,6000042,3,0,0
101,6000042,5,0,0
101,7000042,3,0,0
101,7000042,5,0,0
101,8000042,3,0,0
101,8000042,5,0,0
101,9000042,3,0,0
101,9000042,5,0,0
102,42,3,0,0
102,42,5,0,0
102,1000042,3,0,0
102,1000042,5,0,0
102,2000042,3,0,0
102,2000042,5,0,0
102,3000042,3,0,0
102,3000042,5,0,0
102,4000042,3,0,0
102,4000042,5,0,0
102,5000042,3,0,0
102,5000042,5,0,0
102,6000042,3,0,0
102,6000042,5,0,0
102,7000042,3,0,0
102,7000042,5,0,0
102,8000042,3,0,0
102,8000042,5,0,0
102,9000042,3,0,0
102,9000042,5,0,0
103,42,3,0,0
103,42,5,0,0
103,1000042,3,0,0
103,1000042,5,0,0
103,2000042,3,0,0
103,2000042,5,0,0
103,3000042,3,0,0
103,3000042,5,0,0
103,4000042,3,0,0
103,4000042,5,0,0
103,5000042,3,0,0
103,5000042,5,0,0
103,6000042,3,0,0
103,6000042,5,0,0
103,7000042,3,0,0
103,7000042,5,0,0
103,8000042,3,0,0
103,8000042,5,0,0
103,9000042,3,0,0
103,9000042,5,0,0
104,42,3,0,0
104,42,5,0,0
104,1000042,3,0,0
104,1000042,5,0,0
104,2000042,3,0,0
104,2000042,5,0,0
104,3000042,3,0,0
104,3000042,5,0,0
104,4000042,3,0,0
104,4000042,5,0,0
104,5000042,3,0,0
104,5000042,5,0,0
104,6000042,3,0,0
104,6000042,5,0,0
104,7000042,3,0,0
104,7000042,5,0,0
104,8000042,3,0,0
104,8000042,5,0,0
104,9000042,3,0,0
104,9000042,5,0,0
105,42,3,0,0
105,42,5,0,0
105,1000042,3,0,0
105,1000042,5,0,0
105,2000042,3,0,0
105,2000042,5,0,0
105,3000042,3,0,0
105,3000042,5,0,0
105,4000042,3,0,0
105,4000042,5,0,0
105,5000042,3,0,0
105,5000042,5,0,0
105,6000042,3,0,0
105,6000042,5,0,0
105,7000042,3,0,0
105,7000042,5,0,0
105,8000042,3,0,0
105,8000042,5,0,0
105,9000042,3,0,0
105,9000042,5,0,0
106,42,3,0,0
106,42,5,0,0
106,1000042,3,0,0
106,1000042,5,0,0
106,2000042,3,0,0
106,2000042,5,0,0
106,3000042,3,0,0
106,3000042,5,0,0
106,4000042,3,0,0
106,4000042,5,0,0
106,5000042,3,0,0
106,5000042,5,0,0
106,6000042,3,0,0
106,6000042,5,0,0
106,7000042,3,0,0
106,7000042,5,0,0
106,8000042,3,0,0
106,8000042,5,0,0
106,9000042,3,0,0
106,9000042,5,0,0
107,42,3,0,0
107,42,5,0,0
107,1000042,3,0,0
107,1000042,5,0,0
107,2000042,3,0,0
107,2000042,5,0,0
107,3000042,3,0,0
107,3000042,5,0,0
107,4000042,3,0,0
107,4000042,5,0,0
107,5000042,3,0,0
107,5000042,5,0,0
107,6000042,3,0,0
107,6000042,5,0,0
107,7000042,3,0,0
107,7000042,5,0,0
107,8000042,3,0,0
107,8000042,5,0,0
107,9000042,3,0,0
107,9000042,5,0,0
108,42,3,0,0
108,42,5,0,0
108,1000042,3,0,0
108,1000042,5,0,0
108,2000042,3,0,0
108,2000042,5,0,0
108,3000042,3,0,0
108,3000042,5,0,0
108,4000042,3,0,0
108,4000042,5,0,0
108,5000042,3,0,0
108,5000042,5,0,0
108,6000042,3,0,0
108,6000042,5,0,0
108,7000042,3,0,0
108,7000042,5,0,0
108,8000042,3,0,0
108,8000042,5,0,0
108,9000042,3,0,0
108,9000042,5,0,0
109,42,3,0,0
109,42,5,0,0
109,1000042,3,0,0
109,1000042,5,0,0
109,2000042,3,0,0
109,2000042,5,0,0
109,3000042,3,0,0
109,3000042,5,0,0
109,4000042,3,0,0
109,4000042,5,0,0
109,5000042,3,0,0
109,5000042,5,0,0
109,6000042,3,0,0
109,6000042,5,0,0
109,7000042,3,0,0
109,7000042,5,0,0
109,8000042,3,0,0
109,8000042,5,0,0
109,9000042,3,0,0
109,9000042,5,0,0
110,42,3,0,0
110,42,5,0,0
110,1000042,3,0,0
110,1000042,5,0,0
110,2000042,3,0,0
110,2000042,5,0,0
110,3000042,3,0,0
110,3000042,5,0,0
110,4000042,3,0,0
