log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error,exact_result_raw,exact_result_log_scale,rounded_over_exact_rescaled,alg17_lower_bound_over_exact_rescaled,alg17_actual_over_exact_rescaled,sdp_objective_over_exact_rescaled,cut_edges_over_exact_rescaled
sdp_n10_rep1_seednone.log,10,1,10,8,13,13,hog,10,False,False,True,13.6724793613733,8.343936128453489,8.43510423254904,8.861223830053849,13.69052646915466,6,0.6102723513356543,0.6169403521924056,0.648106579344202,1.0013199586778931,0.4388377441585945,0.6094678789199768,0.6472522331422801,1.0531174207042047,2026-06-30 15:33:28 CEST,19m 30s,1169.69,,13.6724793613733,27.3449587227466,0.30513617566782714,0.3084701760962028,0.324053289672101,0.5006599793389466,0.21941887207929725
sdp_n11_rep1_seednone.log,11,1,11,9,15,15,hog,11,False,False,False,15.464480975525781,,,,,,,,,,,,,,2026-06-30 15:33:29 CEST,,,,15.464480975525781,30.928961951051562,,,,,
sdp_n12_rep1_seednone.log,12,1,12,10,17,17,hog,12,False,False,False,17.472643412758657,,,,,,,,,,,,,,2026-06-30 15:33:29 CEST,,,,17.472643412758657,34.945286825517314,,,,,
sdp_n13_rep1_seednone.log,13,1,13,11,19,19,hog,13,False,False,False,19.361347179003143,,,,,,,,,,,,,,2026-06-30 15:33:30 CEST,,,,19.361347179003143,38.72269435800629,,,,,
sdp_n14_rep1_seednone.log,14,1,14,12,21,21,hog,14,False,False,False,21.264186604719157,,,,,,,,,,,,,,2026-06-30 15:33:31 CEST,,,,21.264186604719157,42.528373209438314,,,,,
sdp_n15_rep1_seednone.log,15,1,15,11,15,15,hog,15,False,False,False,15.000000000000105,,,,,,,,,,,,,,2026-06-30 15:33:31 CEST,,,,15.000000000000105,30.00000000000021,,,,,
sdp_n16_rep1_seednone.log,16,1,16,13,18,18,hog,16,False,False,False,18.000000000000025,,,,,,,,,,,,,,2026-06-30 15:33:33 CEST,,,,18.000000000000025,36.00000000000005,,,,,
sdp_n17_rep1_seednone.log,17,1,17,5,8,8,hog,17,False,False,True,8.0,5.675247051882825,4.984077654575914,5.968681922070131,8.254413704227613,4,0.7094058814853531,0.6230097068219892,0.7460852402587663,1.0318017130284516,0.5,0.6875409029930458,0.7230897476114126,1.0318017130284516,2026-06-30 15:33:34 CEST,26s,26.06,,8.0,16.0,0.35470294074267655,0.3115048534109946,0.37304262012938316,0.5159008565142258,0.25
sdp_n18_rep1_seednone.log,18,1,18,6,10,10,hog,18,False,False,True,10.236067977499808,7.0324904567662685,6.153589273039925,7.2457217102555305,10.316829465383515,7,0.6870304566386806,0.6011672926133653,0.7078618202011316,1.0078898936643672,0.6838563416525661,0.6816522925345112,0.7023205854635284,1.0316829465383515,2026-06-30 15:33:35 CEST,1m 36s,96.03,,10.236067977499808,20.472135954999615,0.3435152283193403,0.30058364630668266,0.3539309101005658,0.5039449468321836,0.3419281708262831
sdp_n19_rep1_seednone.log,19,1,19,7,12,12,hog,19,False,False,True,12.236067977499824,7.595252373891013,7.407908583359258,7.864371954467122,12.392755844021105,8,0.6207265592065581,0.6054157754747047,0.6427205184646282,1.0128054099412822,0.6538048018947528,0.6128784000497636,0.6345942785810063,1.0327296536684254,2026-06-30 15:33:36 CEST,5m 49s,349.35,,12.236067977499824,24.472135954999647,0.31036327960327903,0.30270788773735235,0.3213602592323141,0.5064027049706411,0.3269024009473764
