run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
ffcbfe65,8,28,2,300.0,False,True,"[1, 1, 1]",7.846623668777409,,0.7846623668777408,,,,19.853018760681152,2026-04-14 00:39:42,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,258.77,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
a6bd174c,4,6,5,100.0,False,True,"[1, 1, 1]",1.8741788729567885,,0.6247262909855962,,,,5.225650310516357,2026-04-14 00:39:49,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.41,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
85b311b3,5,10,2,500.0,False,True,"[1, 1, 1]",3.067446741603267,,0.7668616854008168,,,,8.619724035263062,2026-04-14 00:40:03,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.55,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
3c97c355,9,36,2,300.0,False,True,"[1, 1, 1]",9.931657375427255,,0.8276381146189379,,,,76.13763809204102,2026-04-14 00:41:27,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,395.06,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
edef22f2,10,45,3,100.0,False,True,"[1, 1, 1]",12.324102758130051,,0.8216068505420034,,,,212.63943791389465,2026-04-14 00:42:29,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,346.75,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
73b4253b,4,6,3,300.0,False,True,"[1, 1, 1]",1.9293939265204008,,0.6431313088401336,,,,6.106285095214844,2026-04-14 00:48:35,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.33,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
60eb54fe,7,21,4,100.0,False,True,"[1, 1, 1]",5.930245844856795,,0.790699445980906,,,,10.03406810760498,2026-04-14 00:48:48,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,227.58,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
1f46af0b,10,45,2,300.0,False,True,"[1, 1, 1]",12.052009890336599,,0.80346732602244,,,,443.1121768951416,2026-04-14 00:56:43,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,350.31,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
7c53ca14,6,15,2,500.0,False,True,"[1, 1, 1]",4.437429939252725,,0.7395716565421209,,,,11.964636325836182,2026-04-14 01:04:00,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.66,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
4c28851f,5,10,5,100.0,False,True,"[1, 1, 1]",3.0575034088619786,,0.7643758522154946,,,,7.783282995223999,2026-04-14 01:04:12,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.62,ADAM,2,14,0,False,False,True,False,10800,10,complete,False,True,90,False,True
