file,file_n,hog_idx,nodes,edges,finished,global_start_unix,global_start_readable,init_finish_unix,init_finish_readable,effective_start_unix,effective_start_readable,effective_end_unix_estimated,effective_end_readable_estimated,sdp_duration_seconds,sdp_duration_human,cache_save_seconds,abnormal
sdp_n60_rep1_seednone.log,60,60,13,22,False,1782646570.6815014,2026-06-28 13:36:10 CEST,1782646570.735499,2026-06-28 13:36:10 CEST,1782646570.7396276,2026-06-28 13:36:10 CEST,,,,,,missing sdp_duration
sdp_n61_rep1_seednone.log,61,61,13,30,False,1782648532.8197813,2026-06-28 14:08:52 CEST,1782648532.8935437,2026-06-28 14:08:52 CEST,1782648532.9088316,2026-06-28 14:08:52 CEST,,,,,,missing sdp_duration
sdp_n62_rep1_seednone.log,62,62,13,26,False,1782650258.3992913,2026-06-28 14:37:38 CEST,1782650258.4664528,2026-06-28 14:37:38 CEST,1782650258.4809573,2026-06-28 14:37:38 CEST,,,,,,missing sdp_duration
sdp_n63_rep1_seednone.log,63,63,13,26,False,1782651153.7316277,2026-06-28 14:52:33 CEST,1782651153.7656825,2026-06-28 14:52:33 CEST,1782651153.7695918,2026-06-28 14:52:33 CEST,,,,,,missing sdp_duration
sdp_n64_rep1_seednone.log,64,64,13,39,False,1782651405.9275045,2026-06-28 14:56:45 CEST,1782651405.9864845,2026-06-28 14:56:45 CEST,1782651406.005146,2026-06-28 14:56:46 CEST,,,,,,missing sdp_duration
sdp_n65_rep1_seednone.log,65,65,13,39,False,1782653326.5721033,2026-06-28 15:28:46 CEST,1782653326.5817745,2026-06-28 15:28:46 CEST,1782653326.585509,2026-06-28 15:28:46 CEST,,,,,,missing sdp_duration
sdp_n66_rep1_seednone.log,66,66,14,20,False,1782656038.829438,2026-06-28 16:13:58 CEST,1782656038.8350732,2026-06-28 16:13:58 CEST,1782656038.8388374,2026-06-28 16:13:58 CEST,,,,,,missing sdp_duration
sdp_n67_rep1_seednone.log,67,67,14,46,False,1782657076.8856363,2026-06-28 16:31:16 CEST,1782657076.8900788,2026-06-28 16:31:16 CEST,1782657076.8926551,2026-06-28 16:31:16 CEST,,,,,,missing sdp_duration
sdp_n68_rep1_seednone.log,68,68,14,66,False,1782657571.842749,2026-06-28 16:39:31 CEST,1782657571.8479276,2026-06-28 16:39:31 CEST,1782657571.8514612,2026-06-28 16:39:31 CEST,,,,,,missing sdp_duration
sdp_n69_rep1_seednone.log,69,69,14,21,False,1782658314.1490638,2026-06-28 16:51:54 CEST,1782658314.1548097,2026-06-28 16:51:54 CEST,1782658314.1582901,2026-06-28 16:51:54 CEST,,,,,,missing sdp_duration
sdp_n70_rep1_seednone.log,70,70,14,28,False,1782659094.9961548,2026-06-28 17:04:54 CEST,1782659095.001963,2026-06-28 17:04:55 CEST,1782659095.0055125,2026-06-28 17:04:55 CEST,,,,,,missing sdp_duration
sdp_n71_rep1_seednone.log,71,71,14,35,False,1782660860.1991165,2026-06-28 17:34:20 CEST,1782660860.2052412,2026-06-28 17:34:20 CEST,1782660860.2087622,2026-06-28 17:34:20 CEST,,,,,,missing sdp_duration
sdp_n72_rep1_seednone.log,72,72,14,24,False,1782702233.9972167,2026-06-29 05:03:53 CEST,1782702234.0040536,2026-06-29 05:03:54 CEST,1782702234.0078964,2026-06-29 05:03:54 CEST,,,,,,missing sdp_duration
sdp_n73_rep1_seednone.log,73,73,14,33,False,1782702359.6370227,2026-06-29 05:05:59 CEST,1782702359.6431825,2026-06-29 05:05:59 CEST,1782702359.6467814,2026-06-29 05:05:59 CEST,,,,,,missing sdp_duration
sdp_n74_rep1_seednone.log,74,74,14,28,False,1782703374.2013726,2026-06-29 05:22:54 CEST,1782703374.2063804,2026-06-29 05:22:54 CEST,1782703374.2099893,2026-06-29 05:22:54 CEST,,,,,,missing sdp_duration
sdp_n75_rep1_seednone.log,75,75,14,28,False,1782720689.0807528,2026-06-29 10:11:29 CEST,1782720689.0850146,2026-06-29 10:11:29 CEST,1782720689.0875337,2026-06-29 10:11:29 CEST,,,,,,missing sdp_duration
sdp_n76_rep1_seednone.log,76,76,14,42,False,1782720805.8401036,2026-06-29 10:13:25 CEST,1782720805.8457665,2026-06-29 10:13:25 CEST,1782720805.8496034,2026-06-29 10:13:25 CEST,,,,,,missing sdp_duration
sdp_n77_rep1_seednone.log,77,77,14,42,False,1782723239.6091933,2026-06-29 10:53:59 CEST,1782723239.6142874,2026-06-29 10:53:59 CEST,1782723239.6179745,2026-06-29 10:53:59 CEST,,,,,,missing sdp_duration
