log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error
sdp_n36_rep1_seednone.log,36,1,36,11,34,34,hog,36,False,False,True,14.248516824063328,21.72743653506021,18.03701678622725,22.1211971789535,29.056671271491954,23,1.5248911029368513,1.265887320690515,1.5525263051656402,2.0392769037139478,1.6142030980485562,0.7477606891735533,0.7613121603732023,0.8546079785732927,2026-06-29 12:25:40 CEST,4h 37m 35s,16655.34,
sdp_n37_rep1_seednone.log,37,1,37,11,22,22,hog,37,False,False,True,11.845835456182538,13.031113030164452,14.446368521179139,13.585900158335376,24.499708917915278,12,1.1000585883846037,1.2195314188362576,1.1468925267946946,2.0682128338300085,1.01301423984722,0.5318884838111494,0.5545331254283091,1.1136231326325126,2026-06-29 12:25:41 CEST,4h 37m 44s,16663.7,
sdp_n38_rep1_seednone.log,38,1,38,11,18,18,hog,38,False,False,True,9.429890288066717,11.900512773184811,11.423026832956452,12.343155428342136,18.94862161976906,10,1.261999069940888,1.2113637045610168,1.3089394522396598,2.009421217100272,1.0604577248003342,0.6280410792924921,0.6514012299166154,1.052701201098281,2026-06-29 12:25:41 CEST,4h 39m 23s,16762.54,
sdp_n39_rep1_seednone.log,39,1,39,11,24,24,hog,39,False,False,True,11.799588746433804,13.526054327760487,14.481539366674767,14.277177009979448,23.87056560141503,12,1.1463157418811292,1.2272918724435655,1.2099724250384953,2.0229997938385305,1.0169845964866162,0.5666415515080494,0.5981080318068839,0.9946069000589596,2026-06-29 12:25:42 CEST,4h 41m 30s,16889.63,
sdp_n40_rep1_seednone.log,40,1,40,11,22,22,hog,40,False,False,True,11.400436437426137,15.128084311252714,13.910881403876758,15.755162698524806,23.09248357126669,18,1.3269741377259205,1.220206040376591,1.3819789080006335,2.0255789063879255,1.5788869223381976,0.6551085882367434,0.6822636746672194,1.049658344148486,2026-06-29 12:25:43 CEST,4h 40m 53s,16853.18,
sdp_n42_rep1_seednone.log,42,1,42,11,33,33,hog,42,False,False,True,13.965647609088393,19.088790275533565,17.880030920453873,19.48869977420574,28.991858532332493,20,1.3668388899567534,1.280286558914613,1.3954741176143615,2.075940861737448,1.4320853969553582,0.6584189921541331,0.6722128473575236,0.8785411676464392,2026-06-29 12:25:44 CEST,4h 40m 26s,16826.14,
sdp_n43_rep1_seednone.log,43,1,43,11,33,33,hog,43,False,False,True,14.27146488133344,21.657811897961945,17.989404278652707,22.004397658344885,29.158489675607253,21,1.517560536220047,1.260515611272827,1.5418457629479818,2.043132216493452,1.4714677277079833,0.7427617870098376,0.7546480597296789,0.8835905962305228,2026-06-29 12:25:45 CEST,4h 41m 39s,16899.19,
sdp_n44_rep1_seednone.log,44,1,44,12,21,21,hog,44,False,False,True,10.909739721717676,13.221169603098001,13.329686925490101,13.766009202723255,22.186598755045807,14,1.2118684716903956,1.2218153013270439,1.2618091314607345,2.0336506022118606,1.2832570122759794,0.5959079058970751,0.6204650543649692,1.0565047026212289,2026-06-29 12:25:46 CEST,9h 57m 4s,35824.03,
sdp_n45_rep1_seednone.log,45,1,45,12,23,23,hog,45,False,False,True,12.144173766467427,17.659534531061322,14.738472809343897,18.29407840908186,24.732128583595248,14,1.4541569373639025,1.2136249935783912,1.5064078265740557,2.0365427125133673,1.152816179117668,0.7140321331975785,0.7396887957802496,1.0753099384171847,2026-06-29 12:25:47 CEST,9h 55m 38s,35738.1,
sdp_n46_rep1_seednone.log,46,1,46,12,42,42,hog,46,False,False,True,17.345805660952994,26.059855426358006,21.87132480201876,26.44431272832724,35.17712899025562,27,1.5023721547290905,1.2608999103024154,1.5245364352176403,2.027990493946475,1.5565722646587403,0.7408181444704263,0.7517473280907192,0.8375506902441814,2026-06-29 12:25:49 CEST,9h 55m 13s,35712.53,
sdp_n47_rep1_seednone.log,47,1,47,12,18,18,hog,47,False,False,True,10.617007221639131,10.311521695835683,12.7053667798671,10.673464041877958,21.59695665532808,11,0.9712267761124981,1.19669945726057,1.0053175832944485,2.034184983062843,1.036073515856735,0.47745253465106985,0.4942114860079029,1.1998309252960044,2026-06-29 12:25:51 CEST,9h 59m 29s,35969.48,
sdp_n48_rep1_seednone.log,48,1,48,12,24,24,hog,48,False,False,True,12.186183800367075,17.079642035661372,14.833110097277952,17.774521216241574,24.742321162093198,14,1.4015578884627438,1.2172071536317337,1.4585797742281028,2.030358442595286,1.1488420189081907,0.6903007168878103,0.7183853568061054,1.03093004842055,2026-06-29 12:25:52 CEST,9h 58m 32s,35911.62,
sdp_n49_rep1_seednone.log,49,1,49,12,30,30,hog,49,False,False,True,14.510477488753532,19.606202057102717,17.78861604695858,19.948141895130007,29.66232363425405,19,1.3511755262567113,1.2259152781668141,1.374740556304297,2.044200382602439,1.3093986751797873,0.6609799791430189,0.6725077286964091,0.9887441211418017,2026-06-29 12:25:53 CEST,9h 56m 34s,35793.81,
