run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
93768f84,8,12,1,50.0,False,True,"[1, 1, 1]",3.5014191254744236,4.62989510775366,3.0677797763709718,,0.28731719069793193,3.7887363161723555,,,,,,1.6794369220733643,2026-05-04 15:22:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,275.69,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,14,"[(0, 1), (2, 3), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2)]",
b464e099,10,15,1,50.0,False,True,"[1, 1, 1]",3.8136626226994723,6.250346197587138,4.386000179249333,,0.4242105343799407,4.237873157079413,,,,,,14.491797924041748,2026-05-04 15:23:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,376.17,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,15,"[(0, 1), (4, 7), (1, 9), (3, 5), (2, 9), (0, 3), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7), (1, 7)]",
de4e0b8b,10,15,1,50.0,False,True,"[1, 1, 1]",4.474976008410867,6.783238326615516,4.713922318520083,,0.0,4.474976008410867,,,,,,14.454409837722778,2026-05-04 15:23:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,381.58,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,16,"[(2, 7), (0, 1), (1, 9), (3, 5), (2, 9), (0, 3), (4, 6), (1, 8), (7, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7)]",
2f08e2f8,6,9,2,50.0,False,True,"[1, 1, 1]",3.6535844205398953,3.6535844205392927,3.6535844205392927,,0.15845633655416158,3.812040757094057,,,,,,1.784627914428711,2026-05-04 15:23:40,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,223.42,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
d08649f5,10,15,1,50.0,False,True,"[1, 1, 1]",3.961435259913713,6.494838691576521,2.9966507796992343,,0.32493688953553734,4.28637214944925,,,,,,14.39494514465332,2026-05-04 15:23:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,380.08,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,17,"[(2, 7), (0, 1), (4, 7), (3, 8), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (4, 8), (0, 2), (3, 6)]",
3d2abb77,10,15,1,50.0,False,True,"[1, 1, 1]",4.027345605914569,6.418030314520385,4.172247680996152,,0.18489544546930503,4.212241051383874,,,,,,14.481290102005005,2026-05-04 15:24:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,376.83,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,18,"[(8, 9), (0, 1), (2, 3), (1, 6), (3, 8), (5, 7), (2, 9), (0, 3), (4, 6), (4, 5), (5, 9), (4, 8), (0, 2), (6, 7), (1, 7)]",
42791ad0,10,15,1,50.0,False,True,"[1, 1, 1]",4.382077726141449,6.29902386115593,4.173755750361797,,0.021131116275167727,4.403208842416617,,,,,,14.522950172424316,2026-05-04 15:24:34,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,374.25,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,19,"[(3, 9), (0, 1), (2, 3), (1, 6), (4, 7), (5, 8), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (0, 2), (1, 7)]",
edb294c3,10,15,1,50.0,False,True,"[1, 1, 1]",3.6074419191472247,6.000505628160055,3.080697148579939,,0.5488831128188343,4.156325031966059,,,,,,14.607707023620605,2026-05-04 15:24:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,378.89,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,20,"[(3, 9), (0, 1), (2, 3), (5, 8), (7, 9), (2, 9), (0, 3), (4, 6), (1, 8), (5, 6), (4, 5), (4, 8), (0, 2), (6, 7), (1, 7)]",
310bb1d6,8,12,2,50.0,False,True,"[1, 1, 1]",2.9999999999999223,5.999999999996603,2.99999999999992,,0.3938033443143305,3.393803344314253,,,,,,3.2665460109710693,2026-05-04 15:24:59,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,275.39,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,5,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (2, 5), (0, 2), (3, 6)]",
f0f260b4,10,15,1,50.0,False,True,"[1, 1, 1]",3.5794059231259814,6.509866104224398,2.7780220666811632,,1.4911216064566446,5.070527529582626,,,,,,14.479256868362427,2026-05-04 15:25:16,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,376.55,adam,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,21,"[(0, 1), (4, 7), (3, 8), (2, 6), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (3, 7), (4, 8), (0, 2)]",
