run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_energy_statevector,initial_ws_energy_010101,QAOA_improvement_over_SDP,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,warm_start_mode,warm_start_corr_strength,warm_start_corr_repeats,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
2d76e030,10,15,1,50.0,False,True,"[1, 1, 1]",4.217046811825487,6.856704123592585,5.051642638839262,,-0.5356216878486348,-2.340683172601958,4.516020950990627,,,,,,668.0917520523071,2026-05-05 11:12:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,391.08,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,16,"[(2, 7), (0, 1), (1, 9), (3, 5), (2, 9), (0, 3), (4, 6), (1, 8), (7, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7)]",
a88f66f3,6,9,2,50.0,False,True,"[1, 1, 1]",3.633673169706345,3.6336731697058404,3.6336731697058418,,0.15841835455192887,0.1584183545519302,3.7920915242577706,,,,,,79.88394713401794,2026-05-05 11:14:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,231.67,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
c08cae03,10,15,1,50.0,False,True,"[1, 1, 1]",4.041295062719187,6.549809514614851,2.940008335382003,,1.5681223634358439,-2.0416788157970043,4.508130698817847,,,,,,691.5570101737976,2026-05-05 11:25:56,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,390.69,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,17,"[(2, 7), (0, 1), (4, 7), (3, 8), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (4, 8), (0, 2), (3, 6)]",
171bc3e3,10,15,1,50.0,False,True,"[1, 1, 1]",4.731213949095641,6.595719638042351,5.177836604000449,,-0.2529676250962636,-1.670850659138166,4.924868978904185,,,,,,666.2549691200256,2026-05-05 11:37:07,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,391.17,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,18,"[(8, 9), (0, 1), (2, 3), (1, 6), (3, 8), (5, 7), (2, 9), (0, 3), (4, 6), (4, 5), (5, 9), (4, 8), (0, 2), (6, 7), (1, 7)]",
a12404cf,10,15,1,50.0,False,True,"[1, 1, 1]",4.4899526465742685,6.576358576307545,4.327824998677459,,0.4604626239490264,-1.7880709536810597,4.788287622626485,,,,,,660.2900528907776,2026-05-05 11:48:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,389.56,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,19,"[(3, 9), (0, 1), (2, 3), (1, 6), (4, 7), (5, 8), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (0, 2), (1, 7)]",
ea9aaad8,10,15,1,50.0,False,True,"[1, 1, 1]",2.548121772787093,5.507135576087618,1.5363789705109143,,2.178679192560502,-1.792077413016202,3.7150581630714163,,,,,,686.5150249004364,2026-05-05 11:59:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,397.36,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,20,"[(3, 9), (0, 1), (2, 3), (5, 8), (7, 9), (2, 9), (0, 3), (4, 6), (1, 8), (5, 6), (4, 5), (4, 8), (0, 2), (6, 7), (1, 7)]",
adb07c2f,8,12,2,50.0,False,True,"[1, 1, 1]",2.9999999999999956,5.999999999998798,2.9999999999999956,,0.3532268155702609,-2.646773184428542,3.3532268155702565,,,,,,144.15690088272095,2026-05-05 12:02:09,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,285.73,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,5,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (4, 6), (1, 5), (4, 5), (3, 7), (2, 5), (0, 2), (3, 6)]",
ae4bba5b,10,15,1,50.0,False,True,"[1, 1, 1]",3.8013015322829684,6.209659601778017,2.970038063778644,,1.74429485953288,-1.4953266784664931,4.714332923311524,,,,,,673.3406991958618,2026-05-05 12:13:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,390.64,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,21,"[(0, 1), (4, 7), (3, 8), (2, 6), (1, 9), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (1, 5), (5, 9), (3, 7), (4, 8), (0, 2)]",
65d8a8c1,10,15,1,50.0,False,True,"[1, 1, 1]",4.055162949741745,6.085762961595308,4.5912292452385906,,0.10408560655583798,-1.3904481098008796,4.6953148517944285,,,,,,696.9021649360657,2026-05-05 12:25:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,392.16,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,22,"[(8, 9), (3, 9), (0, 1), (2, 3), (1, 6), (4, 7), (5, 8), (0, 3), (4, 6), (2, 8), (4, 5), (5, 9), (0, 2), (6, 7), (1, 7)]",
33816cfb,10,15,1,50.0,False,True,"[1, 1, 1]",4.098428005964595,6.6487595272434,4.337910368308746,,0.055080417073317456,-2.2557687418613366,4.392990785382064,,,,,,691.0596060752869,2026-05-05 12:36:40,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,395.8,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,23,"[(3, 9), (0, 1), (4, 7), (3, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (5, 6), (2, 8), (4, 5), (0, 2), (1, 7)]",
9b2b7e26,10,15,1,50.0,False,True,"[1, 1, 1]",4.41672079439368,6.786086498987473,2.5485874252960397,,2.2986205286817274,-1.9388785450097057,4.847207953977767,,,,,,688.1972398757935,2026-05-05 12:48:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,390.78,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,24,"[(3, 9), (0, 1), (5, 8), (2, 6), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (1, 8), (4, 5), (3, 7), (4, 8), (0, 2), (6, 7)]",
d71753d8,10,15,2,50.0,False,True,"[1, 1, 1]",3.7997165822116576,6.16626554508082,4.009858191395803,,0.5283808865369339,-1.628026467148083,4.538239077932737,,,,,,1229.650719165802,2026-05-05 13:08:43,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,395.52,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,6,"[(3, 9), (0, 1), (2, 3), (1, 6), (5, 7), (7, 9), (0, 3), (4, 6), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (1, 7)]",
9896fa7e,10,15,1,50.0,False,True,"[1, 1, 1]",3.5414039453384443,6.497671768454405,2.974910299901559,,1.5898782111522651,-1.9328832574005812,4.564788511053824,,,,,,686.5095958709717,2026-05-05 13:20:14,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,392.22,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,25,"[(0, 1), (4, 7), (1, 9), (3, 5), (2, 9), (0, 3), (4, 6), (5, 6), (7, 8), (2, 8), (5, 9), (4, 8), (0, 2), (3, 6), (1, 7)]",
bc8ccb71,10,15,1,50.0,False,True,"[1, 1, 1]",4.838279175630468,6.427424551425831,5.920285649138886,,-0.9254248438967352,-1.4325637461836793,4.994860805242151,,,,,,673.1430020332336,2026-05-05 13:31:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,390.53,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,26,"[(3, 9), (0, 1), (2, 3), (1, 6), (4, 7), (7, 9), (0, 3), (6, 8), (5, 6), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (1, 7)]",
cada1f50,10,15,2,50.0,False,True,"[1, 1, 1]",4.499340009847189,6.499999817427566,4.499340001750702,,0.8147958995746167,-1.1858639161022477,5.314135901325319,,,,,,1163.323718070984,2026-05-05 13:50:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,394.83,adam,True,2,1000,hamqaoa,0.05,0,30,0,amplified,2.0,1,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,HOG_graphs/list_27_graphs_adjacency_list.txt,7,"[(1, 3), (0, 1), (2, 3), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (4, 9), (7, 8), (4, 5), (0, 2), (6, 7)]",
