run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,optimal_result,sdp_objective_value_step1,sdp_objective_value_king_normalized_step1,algorithm17_actual_energy,algorithm17_lower_bound_energy,initial_ws_energy_prodStates_step2,initial_sdp_statevector_energy,initial_sdp_statevec_ratio,initial_ws_energy_010101,QAOA_improvement_over_SDP_statevectorEnergy,QAOA_improvement_over_SDP_prodStatesEnergy,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,duration_seconds_excluding_warm_start_cache_io,warm_start_cache_used,warm_start_compute_time_seconds,warm_start_load_time_seconds,warm_start_save_time_seconds,warm_start_effective_time_seconds,warm_start_cache_path,full duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,Instance_is_triangle_free,Instance_is_3_regular,optimiser,optimiser_use_heuristic,heuristic_optimiser_iterations,heuristic_optimiser_sampleSize,circuit_type,learning_rate_adam,sdp_seed,compare_with_010101,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,num_repeats,relative_graph_adjList_path,blas_threads,max_parallel,use_ram_limit,min_free_ram_mb,benchmark_repeat_idx,sdp_seed,hog_graph_index,edges,weights
65eaf68d,5,4,4,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.696419793928157,,0.9445751427880302,,,,392.7286820411682,392.7286820411682,False,,0.0,0.0,,,392.7757887840271,2026-06-16 16:25:39,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,3000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
30453b67,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.53801918394873,,0.8890862759854841,,,,239.3081295490265,239.3081295490265,False,,0.0,0.0,,,239.36770701408386,2026-06-16 16:25:56,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,4000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,5,4000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
52489429,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6325842380272606,,0.9222130909050774,,,,47.03010869026184,47.03010869026184,False,,0.0,0.0,,,47.08090138435364,2026-06-16 16:26:31,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,5000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,6,5000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
40d974ad,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.1193735700566676,,0.7424317226365802,,,,128.69896030426025,128.69896030426025,False,,0.0,0.0,,,128.7445526123047,2026-06-16 16:28:09,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,5000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,6,5000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
06606f5f,5,4,5,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.704650461381681,,0.9474584044754945,,,,553.8154695034027,553.8154695034027,False,,0.0,0.0,,,553.8691909313202,2026-06-16 16:29:12,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,3000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,4,3000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
fb4157c1,5,4,4,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.7343069734272962,,0.9578472927944282,,,,392.9627969264984,392.9627969264984,False,,0.0,0.0,,,393.0049328804016,2026-06-16 16:30:01,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,4000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,5,4000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
5aba50dd,5,4,3,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6979301654318215,,0.9451042367302827,,,,242.57883977890015,242.57883977890015,False,,0.0,0.0,,,242.62698245048523,2026-06-16 16:30:38,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,5000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,6,5000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
c60964d8,5,4,1,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,1.9633215654032519,,0.6877655890806025,,,,47.90177130699158,47.90177130699158,False,,0.0,0.0,,,47.95535349845886,2026-06-16 16:30:54,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,6000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,7,6000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
abdec4f0,5,4,2,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,1.9416807971580727,,0.6801846731559891,,,,121.5986557006836,121.5986557006836,False,,0.0,0.0,,,121.6477210521698,2026-06-16 16:32:44,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,6000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,7,6000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
ef6606e7,5,4,4,50.0,False,False,"[1, 1, 1]",2.8546376797184614,,,,,,,,,,,2.6749804579350336,,0.9370647900222677,,,,393.6103940010071,393.6103940010071,False,,0.0,0.0,,,393.6575894355774,2026-06-16 16:34:47,x86_64,vscode-7576bc9984-87rv2,,128,128,3.11.15,0.21,True,False,adam,True,2,1000,hamqaoa,0.05,5000042,False,False,False,10800,hog,False,True,100,False,False,False,10,HOG_graphs/triangleFree_connected_4to15vertices_829instances_AdjacencyList.txt,8,5,0,2048,6,5000042,0,"[(3, 4), (1, 4), (2, 3), (0, 4)]",
