hog_graph_index,vertices,edges,rows,completed_rows_in_source_csv,estimated_qaoa_seconds_total,estimated_qaoa_minutes_total,estimated_qaoa_seconds_mean,estimated_qaoa_seconds_max
91,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
92,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
93,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
94,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
95,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
96,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
97,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
98,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
99,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
100,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
101,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
102,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
103,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
104,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
105,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
106,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
107,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
108,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
109,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
110,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
111,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
112,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
113,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
114,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
115,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
116,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
117,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
118,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
119,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
120,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
121,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
122,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
123,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
124,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
125,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
126,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
127,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
128,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
129,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
130,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
131,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
132,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
133,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
134,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
135,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
136,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
137,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
138,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
139,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
140,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
141,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
142,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
143,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
144,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
145,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
146,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
147,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
148,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
149,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
150,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
151,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
152,8,,30,0,14142.168744802475,235.70281241337457,471.40562482674915,656.8358172178268
153,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
154,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
155,9,,30,0,28892.735896110535,481.5455982685089,963.0911965370178,1776.2538032531738
