run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations
ae781975,2,1,2,50.0,False,True,"[1, 1, 1]",0.49999999999999406,,0.4884335378887023,0.9884335378886964,,,,,,0.20889925956726074,2026-04-29 16:21:08,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.05,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
cfb5e8c9,9,8,1,50.0,False,True,"[1, 1, 1]",3.9999999999956013,,1.2712222845255154,5.271222284521117,,0.9189718069248809,,,,5.823570013046265,2026-04-29 16:21:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,294.11,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
3eaa88bd,5,4,1,100.0,False,True,"[1, 1, 1]",1.9999999957927115,,-9.51154825568068e-07,1.999999044637886,,0.6830597830047425,,,,0.3483619689941406,2026-04-29 16:21:18,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,211.38,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
728aece5,10,9,1,50.0,False,True,"[1, 1, 1]",4.499999999927483,,0.22598755088425992,4.725987550811743,,0.726181246283304,,,,45.79318809509277,2026-04-29 16:22:06,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,310.83,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
dcb13c0a,6,5,1,100.0,False,True,"[1, 1, 1]",2.499999998511991,,0.27793099200366633,2.7779309905156575,,0.7419687474667889,,,,0.4638552665710449,2026-04-29 16:22:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,212.55,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
317c74f1,3,2,1,200.0,False,True,"[1, 1, 1]",0.9999999998463485,,0.3342019114338517,1.3342019112802002,,0.8894679408534668,,,,0.4610280990600586,2026-04-29 16:22:14,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.28,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
041a7160,3,2,2,50.0,False,True,"[1, 1, 1]",0.9999999998208162,,0.42870681789178655,1.4287068177126028,,0.9524712118084019,,,,0.31363606452941895,2026-04-29 16:22:20,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.31,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
655a838c,7,6,1,100.0,False,True,"[1, 1, 1]",2.9999999996908473,,0.9377021055150885,3.9377021052059358,,0.9081416294294131,,,,0.8169920444488525,2026-04-29 16:23:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,219.97,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
be5b7caa,8,7,1,100.0,False,True,"[1, 1, 1]",3.499999999994166,,-0.894277990316565,2.605722009677601,,0.5084335628639222,,,,3.1124486923217773,2026-04-29 16:25:21,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,255.17,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
0c1bf544,2,1,2,100.0,False,True,"[1, 1, 1]",0.4999999999998558,,0.4982147550429178,0.9982147550427736,,,,,,0.6685619354248047,2026-04-29 16:25:26,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,211.77,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
5cb4e720,4,3,1,200.0,False,True,"[1, 1, 1]",1.499999999946236,,-0.3839352105981366,1.1160647893480993,,0.47170954748440375,,,,0.8928840160369873,2026-04-29 16:25:30,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,214.47,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
3233f161,4,3,2,50.0,False,True,"[1, 1, 1]",1.4999999998389981,,0.45647251593532046,1.9564725157743186,,0.8269114605977678,,,,1.4922130107879639,2026-04-29 16:26:26,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,168.06,adam,hamqaoa,0.05,2,30,0,False,False,False,False,10800,10,line,False,True,90,False,False,False,1
