run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
906a91e7,14,13,4,50.0,True,False,"[1, 1, 1]",,,,8.500128347665475,,0.9162583106247144,,,,9.233011960983276,2026-04-19 15:55:35,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,212.41,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
33428c4c,5,4,5,100.0,True,False,"[1, 1, 1]",,,,2.4999999472213488,,0.8538251185865262,,,,2.9806101322174072,2026-04-19 15:55:38,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,204.97,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
97b68771,13,12,3,100.0,True,False,"[1, 1, 1]",,,,7.499999954423511,,0.8797653905482123,,,,7.402821779251099,2026-04-19 15:55:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,206.27,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
7b3137ed,10,9,5,50.0,True,False,"[1, 1, 1]",,,,5.999999383971984,,0.9219421302968629,,,,3.739147901535034,2026-04-19 15:55:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,203.55,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
2cf0e82a,7,6,3,200.0,True,False,"[1, 1, 1]",,,,3.7499999750783295,,0.8648523927763675,,,,3.721932888031006,2026-04-19 15:55:47,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,201.67,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
3492a156,8,7,4,100.0,True,False,"[1, 1, 1]",,,,4.809774227881004,,0.9384925322694642,,,,3.7218379974365234,2026-04-19 15:55:50,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,200.66,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
97ada4a9,14,13,3,100.0,True,False,"[1, 1, 1]",,,,8.499999858960496,,0.9162444603816424,,,,10.875313997268677,2026-04-19 15:55:52,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,206.88,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
b1ae7fe7,4,3,4,200.0,True,False,"[1, 1, 1]",,,,2.353186424228375,,0.9945842875014265,,,,3.2283918857574463,2026-04-19 15:55:53,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,200.48,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
9465d581,11,10,5,50.0,True,False,"[1, 1, 1]",,,,6.249988480950274,,0.876330409555563,,,,4.564957857131958,2026-04-19 15:55:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.89,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
5ac11765,9,8,4,100.0,True,False,"[1, 1, 1]",,,,4.999999936004357,,0.8716875760119173,,,,4.184668779373169,2026-04-19 15:56:00,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.66,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
92878638,8,7,3,200.0,True,False,"[1, 1, 1]",,,,4.82245342780385,,0.9409665224983121,,,,4.284106016159058,2026-04-19 15:56:03,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,203.42,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
e2549e41,6,5,5,100.0,True,False,"[1, 1, 1]",,,,3.5026213041063814,,0.9355291944728582,,,,3.6415090560913086,2026-04-19 15:56:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,204.44,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
6402449c,3,2,5,200.0,True,False,"[1, 1, 1]",,,,1.2499999949959861,,0.8333333299973241,,,,3.3228681087493896,2026-04-19 15:56:08,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,203.0,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
1ca49285,3,2,10,50.0,True,False,"[1, 1, 1]",,,,1.2499918955792066,,0.8333279303861377,,,,2.863969087600708,2026-04-19 15:56:11,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.23,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
e9475256,12,11,5,50.0,True,False,"[1, 1, 1]",,,,7.25000007773158,,0.9186518091398352,,,,6.063744783401489,2026-04-19 15:56:17,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,206.3,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
ff3855d1,10,9,4,100.0,True,False,"[1, 1, 1]",,,,6.011328580011196,,0.923682940997418,,,,5.116457939147949,2026-04-19 15:56:19,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.75,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
efe95a96,5,4,4,200.0,True,False,"[1, 1, 1]",,,,2.4999999909161614,,0.853825133509618,,,,4.092597007751465,2026-04-19 15:56:21,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,200.52,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
b8cfeefb,9,8,3,200.0,True,False,"[1, 1, 1]",,,,4.999999804268297,,0.8716875530453796,,,,5.09117579460144,2026-04-19 15:56:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,203.44,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
4aed87b5,7,6,5,100.0,True,False,"[1, 1, 1]",,,,3.7499998665193153,,0.8648523677396944,,,,4.602151870727539,2026-04-19 15:56:31,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,202.36,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
ae06c9e9,13,12,5,50.0,True,False,"[1, 1, 1]",,,,7.4999892281734555,,0.8797641323370622,,,,8.7761390209198,2026-04-19 15:56:32,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,208.52,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
8f497cad,11,10,4,100.0,True,False,"[1, 1, 1]",,,,6.2499998116206905,,0.8763319982642583,,,,6.759450912475586,2026-04-19 15:56:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.67,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
9dfe5a2e,10,9,3,200.0,True,False,"[1, 1, 1]",,,,5.999999987848701,,0.9219422230867703,,,,7.034030199050903,2026-04-19 15:56:42,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,204.89,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
e139914b,14,13,5,50.0,True,False,"[1, 1, 1]",,,,8.500110800193701,,0.9162564191218823,,,,14.507965803146362,2026-04-19 15:56:44,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,215.2,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
85af10c6,6,5,4,200.0,True,False,"[1, 1, 1]",,,,3.500000994062886,,0.9348293253373092,,,,5.685985088348389,2026-04-19 15:56:47,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,206.88,ADAM,0.01,3,14,0,False,False,True,False,10800,10,line,False,True,90,False,True
