run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
78221c4e,3,3,2,300.0,False,True,"[1, 1, 1]",1.124501275418793,,0.7496675169458621,,,,2.015902280807495,2026-04-15 08:17:11,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,212.12,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
6a8068be,5,10,5,500.0,False,True,"[1, 1, 1]",2.999015756539525,,0.7497539391348812,,,,39.63798403739929,2026-04-15 20:25:21,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.91,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
8234549a,5,10,2,500.0,False,True,"[1, 1, 1]",3.0059389511760393,,0.7514847377940098,,,,8.365498065948486,2026-04-15 11:19:48,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.84,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
821ad159,5,10,20,300.0,False,True,"[1, 1, 1]",3.009533416603981,,0.7523833541509952,,,,336.65334129333496,2026-04-16 09:19:06,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,220.55,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
501fd800,5,10,15,300.0,False,True,"[1, 1, 1]",3.0129053425272323,,0.7532263356318081,,,,196.48362183570862,2026-04-16 05:45:02,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,220.41,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
273c4b7e,5,10,2,300.0,False,True,"[1, 1, 1]",3.0211643303469904,,0.7552910825867476,,,,5.037778377532959,2026-04-15 10:07:10,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.53,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
d4a4581c,5,10,3,100.0,False,True,"[1, 1, 1]",3.0214204377126737,,0.7553551094281684,,,,3.2904021739959717,2026-04-15 08:26:57,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.78,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
93f00938,5,10,4,500.0,False,True,"[1, 1, 1]",3.023069232443821,,0.7557673081109553,,,,26.183002710342407,2026-04-15 18:24:23,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.83,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
3e777c78,5,10,15,100.0,False,True,"[1, 1, 1]",3.028620427700657,,0.7571551069251643,,,,64.63989186286926,2026-04-16 00:44:36,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.95,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
93fc1519,5,10,10,100.0,False,True,"[1, 1, 1]",3.0479461619894828,,0.7619865404973707,,,,27.044474840164185,2026-04-15 19:07:36,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,218.78,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
1cc44575,5,10,3,500.0,False,True,"[1, 1, 1]",3.056758716138848,,0.764189679034712,,,,16.229275941848755,2026-04-15 14:49:55,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.12,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
36062e0d,5,10,1,300.0,False,True,"[1, 1, 1]",3.0597987419674535,,0.7649496854918634,,,,1.393773078918457,2026-04-15 08:14:47,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,211.81,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
c327380f,5,10,3,300.0,False,True,"[1, 1, 1]",3.0623386979376344,,0.7655846744844086,,,,9.847717046737671,2026-04-15 11:52:03,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,213.36,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
928a6326,5,10,4,300.0,False,True,"[1, 1, 1]",3.071511350128448,,0.767877837532112,,,,15.079926013946533,2026-04-15 14:56:18,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.45,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
3761aefc,5,10,1,500.0,False,True,"[1, 1, 1]",3.0798639165618593,,0.7699659791404648,,,,2.5382471084594727,2026-04-15 08:15:40,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,214.86,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
5464df30,5,10,4,100.0,False,True,"[1, 1, 1]",3.0803325318530903,,0.7700831329632726,,,,4.72101092338562,2026-04-15 11:18:04,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,215.3,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
4b91d400,8,28,15,100.0,False,True,"[1, 1, 1]",7.706685674672552,,0.7706685674672552,,,,184.2651710510254,2026-04-16 03:09:38,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,271.45,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
9e243405,8,28,10,300.0,False,True,"[1, 1, 1]",7.72749715153759,,0.772749715153759,,,,253.6067032814026,2026-04-16 04:24:14,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,258.12,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
1c8a2dba,5,10,1,100.0,False,True,"[1, 1, 1]",3.1034252036617587,,0.7758563009154397,,,,0.38787388801574707,2026-04-15 08:11:52,Apple M4,Mac-mini-som-tillhor-Julian.local,16.0,10,10,3.13.1,210.73,ADAM,2,14,0,False,False,False,False,10800,10,complete,False,True,90,False,True
