run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,rerun_exclude_finished_instances
0b8764fd,9,36,10,300.0,False,True,"[1, 1, 1]",9.999260884808907,-2.2382096176443156e-13,9.999260884808683,,0.8332717404007236,,,,588.4205141067505,2026-04-17 08:14:46,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,382.05,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
a043b201,8,28,10,300.0,False,True,"[1, 1, 1]",7.3033302926914825,4.529709940470639e-14,7.303330292691528,,0.7303330292691528,,,,302.62821984291077,2026-04-17 08:21:46,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,265.38,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
a69584e3,6,15,20,100.0,False,True,"[1, 1, 1]",4.412798023741401,8.881784197001252e-16,4.412798023741402,,0.7354663372902337,,,,183.56040501594543,2026-04-17 08:33:04,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,225.38,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
658c1635,7,21,10,300.0,False,True,"[1, 1, 1]",6.072883578953051,7.016609515630989e-14,6.072883578953121,,0.8097178105270828,,,,206.9164628982544,2026-04-17 08:44:01,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,232.23,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
91416690,3,3,15,300.0,False,True,"[1, 1, 1]",1.111522414284693,3.3306690738754696e-15,1.1115224142846962,,0.7410149428564642,,,,92.32851886749268,2026-04-17 08:53:21,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,203.22,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
33e14aaa,10,45,15,100.0,False,True,"[1, 1, 1]",12.270433542918148,-7.158718062783009e-13,12.270433542917432,,0.8180289028611621,,,,1301.905441045761,2026-04-17 09:01:04,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,382.39,ADAM,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
74a03093,4,6,10,500.0,False,True,"[1, 1, 1]",1.9802117005336386,6.217248937900877e-15,1.9802117005336448,,0.6600705668445482,,,,116.07562685012817,2026-04-17 09:03:49,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,213.39,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
66b1a3fe,5,10,20,100.0,False,True,"[1, 1, 1]",3.1069638494467195,7.37188088351104e-14,3.1069638494467933,,0.7767409623616983,,,,131.81690788269043,2026-04-17 09:04:19,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,221.75,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
96dddfab,9,36,15,100.0,False,True,"[1, 1, 1]",9.79677958837306,-7.460698725481052e-14,9.796779588372985,,0.8163982990310821,,,,364.5666799545288,2026-04-17 09:07:14,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,362.06,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
0c8cb18a,6,15,10,300.0,False,True,"[1, 1, 1]",4.49443980792994,-1.056932319443149e-13,4.494439807929834,,0.749073301321639,,,,133.6853678226471,2026-04-17 09:11:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,223.38,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
8d983973,8,28,15,100.0,False,True,"[1, 1, 1]",7.831157416671275,-1.8030021919912542e-13,7.831157416671095,,0.7831157416671095,,,,220.10019087791443,2026-04-17 09:14:26,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,264.22,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
acec1e2f,4,6,20,100.0,False,True,"[1, 1, 1]",1.6242383108473357,1.1324274851176597e-14,1.624238310847347,,0.541412770282449,,,,97.04068303108215,2026-04-17 09:14:51,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,205.45,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
92de70f4,7,21,15,100.0,False,True,"[1, 1, 1]",5.9881333557728516,-4.263256414560601e-14,5.988133355772809,,0.7984177807697078,,,,167.6353440284729,2026-04-17 09:25:39,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,224.86,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
4307134d,3,3,10,500.0,False,True,"[1, 1, 1]",1.1054629048417757,-6.661338147750939e-16,1.105462904841775,,0.7369752698945167,,,,84.53307795524597,2026-04-17 09:26:55,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,194.83,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
7cee885c,5,10,10,300.0,False,True,"[1, 1, 1]",3.091208827852147,-4.440892098500626e-15,3.0912088278521423,,0.7728022069630356,,,,122.24000883102417,2026-04-17 09:27:48,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.13.1,204.91,ADAM,0.01,3,14,0,False,False,True,False,10800,10,complete,False,False,90,False,True
