run_id,n,m,p,precision/iterations,singlet_injection,warm_start,parameter_vector,initial_ws_energy,initial_ws_energy_prodStates,initial_ws_energy_010101,QAOA_improvement_over_SDP,result,result_010101,approx_ratio,approx_ratio_010101,diff. approx. ratio,sdp ws greater,duration_seconds,finished_at,processor,hostname,total_ram_gb,physical_cores,logical_cores,python_version,peak_ram_mb,optimiser,circuit_type,learning_rate_adam,n_start,n_end,start_index_singlet,compare_with_010101,warm_start_correlations,init_QAOAparams_close_to_zero,use_correlations_as_initial_params,time_limit,failed_instance_termination_thrsh,graph_generation_type,weighted,easiest_first,cpu_util_threshold,debug,save_circuit_svg,rerun_exclude_finished_instances,optimiser_debug_iterations,relative_graph_adjList_path,hog_graph_index,edges,weights
11bab0ca,8,12,1,100.0,False,True,"[1, 1, 1]",3.008049572223354,,,0.5302678912335126,3.5383174634568664,,,,,,2.5205070972442627,2026-05-04 12:36:05,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,273.67,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,14,"[(0, 1), (2, 3), (4, 7), (2, 6), (5, 7), (0, 3), (4, 6), (5, 6), (1, 5), (3, 7), (1, 4), (0, 2)]",
cd1e054f,10,15,1,200.0,False,True,"[1, 1, 1]",4.499843579834356,,,0.19491349252404255,4.6947570723583985,,,,,,54.921066999435425,2026-05-04 12:37:04,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,379.86,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,7,"[(1, 3), (0, 1), (2, 3), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (4, 9), (7, 8), (4, 5), (0, 2), (6, 7)]",
b8d5a9a4,10,15,2,50.0,False,True,"[1, 1, 1]",4.499493605146436,,,0.6394623107338093,5.138955915880246,,,,,,25.787098169326782,2026-05-04 12:37:31,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,380.84,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,7,"[(1, 3), (0, 1), (2, 3), (5, 8), (1, 9), (5, 7), (2, 9), (0, 3), (4, 6), (6, 8), (4, 9), (7, 8), (4, 5), (0, 2), (6, 7)]",
f5659647,10,15,1,100.0,False,True,"[1, 1, 1]",3.575180895865824,,,0.6330549427953485,4.208235838661173,,,,,,27.81294584274292,2026-05-04 12:38:02,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,381.12,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,15,"[(0, 1), (4, 7), (1, 9), (3, 5), (2, 9), (0, 3), (6, 8), (2, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7), (1, 7)]",
a39647cc,10,15,1,500.0,False,True,"[1, 1, 1]",4.995395234292986,,,0.3001215564826234,5.2955167907756096,,,,,,137.78123807907104,2026-05-04 12:40:25,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,380.92,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,3,"[(8, 9), (0, 1), (3, 8), (2, 6), (5, 7), (2, 9), (0, 3), (4, 6), (1, 5), (5, 9), (3, 7), (4, 8), (1, 4), (0, 2), (6, 7)]",
fac1b279,10,15,1,100.0,False,True,"[1, 1, 1]",4.7869991600380635,,,1.716170492075432,6.503169652113495,,,,,,27.859841108322144,2026-05-04 12:40:54,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,379.75,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,16,"[(2, 7), (0, 1), (1, 9), (3, 5), (2, 9), (0, 3), (4, 6), (1, 8), (7, 8), (4, 5), (5, 9), (4, 8), (0, 2), (3, 6), (6, 7)]",
fc150883,6,9,2,100.0,False,True,"[1, 1, 1]",3.652648399400245,,,0.14495294559448224,3.7976013449947272,,,,,,2.6581637859344482,2026-05-04 12:40:58,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,223.39,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,4,"[(0, 1), (3, 5), (0, 3), (1, 2), (3, 4), (4, 5), (2, 5), (1, 4), (0, 2)]",
88e97f9f,10,15,1,200.0,False,True,"[1, 1, 1]",5.207766736570815,,,0.9545153229426706,6.162282059513486,,,,,,54.9356050491333,2026-05-04 12:41:57,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,379.69,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,8,"[(3, 9), (2, 7), (0, 1), (3, 8), (2, 6), (7, 9), (0, 3), (6, 8), (1, 5), (4, 5), (5, 9), (4, 8), (1, 4), (0, 2), (6, 7)]",
a9213876,8,12,2,200.0,False,True,"[1, 1, 1]",4.684160416536823,,,1.1311833356896797,5.815343752226503,,,,,,11.09070897102356,2026-05-04 12:42:13,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,274.66,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,2,"[(2, 7), (0, 1), (1, 6), (4, 7), (0, 3), (5, 6), (4, 5), (3, 7), (2, 5), (1, 4), (0, 2), (3, 6)]",
e8604a09,10,15,2,50.0,False,True,"[1, 1, 1]",3.4823833992672735,,,1.643730781674607,5.12611418094188,,,,,,26.314196825027466,2026-05-04 12:42:41,Apple M4,Julians-MacBook-Air-2.local,16.0,10,10,3.11.14,377.12,adam,hamqaoa,0.05,0,30,0,False,False,False,False,10800,10,HOG,False,True,100,True,False,False,1,/Users/julian/PycharmProjects/PythonProject/MasterThesis/QAOA/HOG_graphs/list_27_graphs_adjacency_list.txt,8,"[(3, 9), (2, 7), (0, 1), (3, 8), (2, 6), (7, 9), (0, 3), (6, 8), (1, 5), (4, 5), (5, 9), (4, 8), (1, 4), (0, 2), (6, 7)]",
